uid,floor,node,rating,ch1,ch2,ch3,ch4
d4f3100db38711ef913e8878734f76cf,7,1,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
d4f3100db38711ef913e8878734f76cf,7,2,S,Jane,Seth,Lucy,Amillion
d4f3100db38711ef913e8878734f76cf,6,1,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
d4f3100db38711ef913e8878734f76cf,6,2,S,Jane,Seth,Lucy,Amillion
d4f3100db38711ef913e8878734f76cf,5,1,S,Jane,Seth,Lucy,Amillion
d4f3100db38711ef913e8878734f76cf,5,2,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
d4f3100db38711ef913e8878734f76cf,4,1,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
d4f3100db38711ef913e8878734f76cf,4,2,S,Jane,Seth,Lucy,Amillion
d4f3100db38711ef913e8878734f76cf,3,1,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
d4f3100db38711ef913e8878734f76cf,3,2,S,Jane,Seth,Lucy,Amillion
d4f3100db38711ef913e8878734f76cf,2,1,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
d4f3100db38711ef913e8878734f76cf,2,2,S,Jane,Seth,Lucy,Amillion
d4f3100db38711ef913e8878734f76cf,1,1,S,Zhu Yuan,Qingyi,Nicole,Resonaboo
d4f3100db38711ef913e8878734f76cf,1,2,S,Jane,Seth,Lucy,Amillion
d4f3100eb38711ef9b788878734f76cf,7,1,S,Yanagi,Caesar,Rina,Electroboo
d4f3100eb38711ef9b788878734f76cf,7,2,S,Ellen,Lycaon,Soukaku,Sharkboo
d4f3100eb38711ef9b788878734f76cf,6,1,S,Ellen,Lycaon,Soukaku,Sharkboo
d4f3100eb38711ef9b788878734f76cf,6,2,S,Piper,Caesar,Lucy,Rocketboo
d4f3100eb38711ef9b788878734f76cf,5,1,S,Ellen,Lycaon,Soukaku,Sharkboo
d4f3100eb38711ef9b788878734f76cf,5,2,S,Soldier 11,Caesar,Lucy,Rocketboo
d4f3100eb38711ef9b788878734f76cf,4,1,S,Yanagi,Seth,Rina,Electroboo
