uid,phase,name,level,cons,weapon,element,artifacts
c0307219c36111efbd5a8878734f76cf,,Miyabi,60,1,Hailstorm Shrine,Ice,"4p Branch & Blade Song, Polar Metal"
c0307219c36111efbd5a8878734f76cf,,Yanagi,60,0,Electro-Lip Gloss,Electric,"4p Chaos Jazz, Freedom Blues"
c0307219c36111efbd5a8878734f76cf,,Nicole,50,6,The Vault,Ether,"4p Astral Voice, Swing Jazz"
c0307219c36111efbd5a8878734f76cf,,Ellen,60,0,Deep Sea Visitor,Ice,"4p Woodpecker Electro, Puffer Electro"
c0307219c36111efbd5a8878734f76cf,,Soukaku,60,6,Bashful Demon,Ice,"4p Swing Jazz, Hormone Punk"
c0307219c36111efbd5a8878734f76cf,,Jane,60,0,Sharpened Stinger,Physical,"4p Fanged Metal, Freedom Blues"
c0307219c36111efbd5a8878734f76cf,,Burnice,60,0,Flamemaker Shaker,Fire,"4p Chaos Jazz, Freedom Blues"
c0307219c36111efbd5a8878734f76cf,,Lycaon,57,0,[Vortex] Arrow,Ice,"4p Shockstar Disco, Swing Jazz"
c0307219c36111efbd5a8878734f76cf,,Lucy,60,6,Kaboom the Cannon,Fire,"4p Swing Jazz, Hormone Punk"
c030721ac36111ef80178878734f76cf,,Miyabi,60,0,Hailstorm Shrine,Ice,"4p Branch & Blade Song, Woodpecker Electro"
c030721ac36111ef80178878734f76cf,,Yanagi,60,0,Weeping Gemini,Electric,"4p Thunder Metal, Chaos Jazz"
c030721ac36111ef80178878734f76cf,,Soukaku,55,6,Slice of Time,Ice,"4p Freedom Blues, Swing Jazz"
c030721ac36111ef80178878734f76cf,,Caesar,55,0,Demara Battery Mark II,Physical,"4p Proto Punk, Shockstar Disco"
c030721ac36111ef80178878734f76cf,,Soldier 11,60,1,Starlight Engine,Fire,"4p Inferno Metal, Woodpecker Electro"
c030721ac36111ef80178878734f76cf,,Lycaon,55,1,Demara Battery Mark II,Ice,"4p Shockstar Disco, Swing Jazz"
c030721ac36111ef80178878734f76cf,,Seth,50,3,Starlight Engine,Electric,"4p Swing Jazz, Freedom Blues"
c030721ac36111ef80178878734f76cf,,Rina,50,0,Slice of Time,Electric,"4p Freedom Blues, Swing Jazz"
c030721ac36111ef80178878734f76cf,,Lucy,55,4,,Fire,"4p Swing Jazz, Hormone Punk"
c030721bc36111efacbe8878734f76cf,,Miyabi,60,0,Hailstorm Shrine,Ice,"4p Branch & Blade Song, Hormone Punk"
c030721bc36111efacbe8878734f76cf,,Qingyi,60,0,Ice-Jade Teapot,Electric,"4p Shockstar Disco, Swing Jazz"
c030721bc36111efacbe8878734f76cf,,Yanagi,60,0,Electro-Lip Gloss,Electric,"4p Chaos Jazz, Freedom Blues"
c030721bc36111efacbe8878734f76cf,,Nicole,60,6,The Vault,Ether,"4p Swing Jazz, Chaotic Metal"
c030721bc36111efacbe8878734f76cf,,Soukaku,60,6,Bashful Demon,Ice,"Freedom Blues, Swing Jazz, Flex"
c030721bc36111efacbe8878734f76cf,,Jane,60,0,Weeping Gemini,Physical,"4p Fanged Metal, Flex"
c030721bc36111efacbe8878734f76cf,,Burnice,60,0,Electro-Lip Gloss,Fire,"4p Chaos Jazz, Inferno Metal"
c030721bc36111efacbe8878734f76cf,,Zhu Yuan,60,0,The Brimstone,Ether,"4p Chaotic Metal, Hormone Punk"
c030721bc36111efacbe8878734f76cf,,Lucy,60,6,Kaboom the Cannon,Fire,"4p Swing Jazz, Hormone Punk"
c030721cc36111ef89938878734f76cf,,Ben,60,6,Big Cylinder,Fire,"4p Inferno Metal, Soul Rock"
c030721cc36111ef89938878734f76cf,,Piper,60,4,Sharpened Stinger,Physical,"4p Freedom Blues, Swing Jazz"
c030721cc36111ef89938878734f76cf,,Yanagi,60,0,Weeping Gemini,Electric,"4p Thunder Metal, Freedom Blues"
c030721cc36111ef89938878734f76cf,,Lighter,60,1,Blazing Laurel,Fire,"4p Shockstar Disco, Puffer Electro"
c030721cc36111ef89938878734f76cf,,Harumasa,60,2,Zanshin Herb Case,Electric,"4p Thunder Metal, Woodpecker Electro"
c030721cc36111ef89938878734f76cf,,Lycaon,60,0,Starlight Engine Replica,Ice,"4p Woodpecker Electro, Polar Metal"
c030721cc36111ef89938878734f76cf,,Seth,60,6,Peacekeeper - Specialized,Electric,"Chaos Jazz, Thunder Metal, Freedom Blues"
c030721cc36111ef89938878734f76cf,,Rina,45,0,Slice of Time,Electric,"4p Swing Jazz, Puffer Electro"
c030721cc36111ef89938878734f76cf,,Lucy,60,6,Kaboom the Cannon,Fire,"4p Swing Jazz, Flex"
