uid,floor,star,score,boss,buff,ch1,ch1_rank,ch2,ch2_rank,ch3,ch3_rank,bangboo,rank_percent
f0172490557811f0951d8878734f76cf,1,3,20380,Notorious - Pompey,Sonata,Yixuan,0,Pan Yinhu,6.0,Ju Fufu,0.0,Belion,4180
f0172490557811f0951d8878734f76cf,2,3,21697,Unknown Corruption Complex,Lingering Illness,Zhu Yuan,0,Qingyi,0.0,Nicole,6.0,Resonaboo,4180
f0172490557811f0951d8878734f76cf,3,3,24243,Sacrifice - Bringer,Sonata,Astra Yao,0,Miyabi,0.0,Soukaku,6.0,Agent Gulliver,4180
f0172676557811f0aa0e8878734f76cf,2,3,36375,Unknown Corruption Complex,Sonata,Yixuan,0,Pan Yinhu,0.0,Ju Fufu,0.0,Belion,4199
f0172676557811f0aa0e8878734f76cf,3,3,30046,Sacrifice - Bringer,Graceful Mastery,Soukaku,6,Miyabi,2.0,Yanagi,0.0,Agent Gulliver,4199
f017275b557811f08a488878734f76cf,2,3,45916,Unknown Corruption Complex,Lingering Illness,Yixuan,2,Qingyi,0.0,Astra Yao,0.0,Resonaboo,2514
f017275b557811f08a488878734f76cf,3,3,41581,Sacrifice - Bringer,Graceful Mastery,Miyabi,2,Trigger,0.0,Soukaku,6.0,Sharkboo,2514
f0172808557811f0b4738878734f76cf,2,3,48614,Unknown Corruption Complex,Sonata,Yixuan,1,Pan Yinhu,6.0,Astra Yao,0.0,Agent Gulliver,2162
f0172808557811f0b4738878734f76cf,3,3,42185,Sacrifice - Bringer,Graceful Mastery,Miyabi,1,Vivian,0.0,Nicole,6.0,Robin,2162
f01728b4557811f0abd18878734f76cf,1,3,28983,Notorious - Pompey,Lingering Illness,Ellen,0,Lighter,0.0,Astra Yao,1.0,,1644
f01728b4557811f0abd18878734f76cf,2,3,29912,Unknown Corruption Complex,Lingering Illness,Zhu Yuan,0,Qingyi,0.0,Nicole,6.0,Resonaboo,1644
f01728b4557811f0abd18878734f76cf,3,3,26321,Sacrifice - Bringer,Graceful Mastery,Miyabi,0,Vivian,0.0,Lucy,6.0,Robin,1644
f017295e557811f086688878734f76cf,1,1,9831,Notorious - Pompey,Lingering Illness,Evelyn,0,Koleda,2.0,Nicole,6.0,Resonaboo,6669
f017295e557811f086688878734f76cf,2,2,17183,Unknown Corruption Complex,Sonata,Yixuan,0,Burnice,0.0,Jane,1.0,Red Moccus,6669
f017295e557811f086688878734f76cf,3,3,21668,Sacrifice - Bringer,Lingering Illness,Miyabi,0,Lycaon,0.0,Astra Yao,0.0,Robin,6669
f0172a2b557811f0b9628878734f76cf,1,3,38602,Notorious - Pompey,Lingering Illness,Astra Yao,1,Evelyn,0.0,Lighter,0.0,Snap,665
f0172a2b557811f0b9628878734f76cf,2,3,38907,Unknown Corruption Complex,Sonata,Yixuan,0,Ju Fufu,0.0,Pan Yinhu,2.0,Belion,665
f0172a2b557811f0b9628878734f76cf,3,3,24097,Sacrifice - Bringer,Graceful Mastery,Miyabi,2,Vivian,0.0,,,Robin,665
f0172b00557811f0817b8878734f76cf,1,3,30254,Notorious - Pompey,Sonata,Ju Fufu,0,Yixuan,0.0,Pan Yinhu,6.0,Belion,479
f0172b00557811f0817b8878734f76cf,2,3,37199,Unknown Corruption Complex,Graceful Mastery,Vivian,0,Rina,2.0,Yanagi,0.0,Robin,479
f0172b00557811f0817b8878734f76cf,3,3,39933,Sacrifice - Bringer,Graceful Mastery,Astra Yao,0,Burnice,0.0,Miyabi,0.0,Agent Gulliver,479
f01734a5557811f086738878734f76cf,1,3,27821,Notorious - Pompey,Lingering Illness,Astra Yao,0,Evelyn,0.0,Koleda,2.0,Snap,1697
f01734a5557811f086738878734f76cf,2,3,32303,Unknown Corruption Complex,Sonata,Yixuan,0,Pan Yinhu,3.0,Ju Fufu,0.0,Belion,1697
f01734a5557811f086738878734f76cf,3,3,24819,Sacrifice - Bringer,Graceful Mastery,Miyabi,0,Vivian,0.0,Soukaku,6.0,Robin,1697
f0173910557811f084448878734f76cf,1,3,37254,Notorious - Pompey,Lingering Illness,Evelyn,0,Trigger,0.0,Astra Yao,0.0,Snap,181
