uid,floor,node,rating,time,ch1,ch1_rank,ch2,ch2_rank,ch3,ch3_rank,bangboo
e58b8ccc8e1411f081bf8878734f76cf,7,1,S,144,Alice,0,Yuzuha,0.0,Ju Fufu,0.0,Miss Esme
e58b8ccc8e1411f081bf8878734f76cf,7,2,S,102,Miyabi,2,Vivian,0.0,Astra Yao,0.0,Agent Gulliver
e572fa528e1411f09ba48878734f76cf,7,1,S,121,Alice,0,Yuzuha,0.0,Vivian,0.0,Miss Esme
e572fa528e1411f09ba48878734f76cf,7,2,S,151,Soldier 0 - Anby,0,Trigger,0.0,Astra Yao,0.0,Plugboo
e58b8e828e1411f0b9458878734f76cf,7,1,S,137,Astra Yao,0,Evelyn,0.0,Seed,0.0,Snap
e58b8e828e1411f0b9458878734f76cf,7,2,S,97,Vivian,0,Yuzuha,0.0,Yanagi,0.0,Robin
e58b8ec58e1411f0b36e8878734f76cf,7,1,S,95,Jane,0,Vivian,0.0,Yuzuha,0.0,Miss Esme
e58b8ec58e1411f0b36e8878734f76cf,7,2,S,151,Soldier 0 - Anby,0,Pulchra,6.0,Astra Yao,0.0,Plugboo
e58b8f028e1411f0a3268878734f76cf,7,1,S,123,Burnice,0,Yuzuha,0.0,Jane,0.0,Officer Cui
e58b8f028e1411f0a3268878734f76cf,7,2,S,89,Astra Yao,0,Miyabi,0.0,Yanagi,0.0,Plugboo
e58b8f3e8e1411f082378878734f76cf,7,1,S,112,Astra Yao,0,Miyabi,0.0,Trigger,0.0,Agent Gulliver
e58b8f3e8e1411f082378878734f76cf,7,2,S,135,Yixuan,0,Pan Yinhu,6.0,Pulchra,6.0,Belion
e58b8f778e1411f096778878734f76cf,7,1,S,90,Miyabi,2,Vivian,0.0,Yuzuha,0.0,Robin
e58b8f778e1411f096778878734f76cf,7,2,S,105,Yanagi,0,Trigger,0.0,Astra Yao,0.0,Plugboo
e58b8faf8e1411f093998878734f76cf,7,1,S,163,Jane,1,Seth,6.0,Yuzuha,0.0,Bangvolver
e58b8faf8e1411f093998878734f76cf,7,2,S,131,Miyabi,1,Pulchra,6.0,Astra Yao,0.0,Snap
e58b8fe68e1411f0bb8e8878734f76cf,7,1,S,90,Alice,0,Yuzuha,0.0,Miyabi,1.0,Miss Esme
