uid,player_level,character,char_level,element,w_engine,w_engine_level,basic_atk,special_atk,dash,ultimate,core_skill,assist,base_hp,base_atk,base_def,base_impact,crit_rate,crit_dmg,anomaly_mastery,anomaly_proficiency,pen_ratio,pen,base_energy_regen,dmg_bonus,percent_hp_sub,percent_atk_sub,percent_def_sub,crit_rate_sub,crit_dmg_sub,pen_sub,anomaly_proficiency_sub,drive_slot_4,drive_slot_5,drive_slot_6,drive_sets
ad2d226e765411f0acc48878734f76cf,60,Miyabi,60,Ice,Hailstorm Shrine,60.0,12,12,12,12,7,12,0,0,0,0,77.0,147.6,116,238,0.0,27,0,30.0,6.0,39.0,4.8,24.0,81.6,27,0,CRIT Rate,Ice DMG Bonus,Percent ATK,"4p Branch & Blade Song, Astral Voice"
ad2d226e765411f0acc48878734f76cf,60,Ellen,60,Ice,Deep Sea Visitor,60.0,12,12,12,12,7,12,0,0,0,0,75.4,138.0,94,102,24.0,45,0,0.0,6.0,33.0,9.6,24.0,72.0,45,9,Percent ATK,PEN Ratio,Percent ATK,"4p Woodpecker Electro, Branch & Blade Song"
ad2d226e765411f0acc48878734f76cf,60,Soldier 11,60,Fire,The Brimstone,60.0,12,12,12,12,7,12,0,0,0,0,62.6,142.8,94,111,0.0,36,0,40.0,15.0,30.0,14.4,43.2,28.8,36,18,CRIT DMG,Fire DMG Bonus,Percent ATK,"4p Inferno Metal, Branch & Blade Song"
ad2d226e765411f0acc48878734f76cf,60,Anby,60,Electric,Demara Battery Mark II,60.0,11,11,11,11,7,11,0,0,0,0,38.6,102.8,94,156,0.0,54,0,0.0,15.0,33.0,4.8,9.6,52.8,54,63,CRIT Rate,Percent ATK,Impact,"4p Shockstar Disco, Swing Jazz"
ad2d226e765411f0acc48878734f76cf,60,Lucy,60,Fire,Kaboom the Cannon,60.0,11,11,11,11,7,11,0,0,0,0,61.0,83.6,94,147,0.0,36,0,0.0,6.0,33.0,4.8,24.0,33.6,36,54,CRIT Rate,Percent ATK,Energy Regen,"4p Swing Jazz, Woodpecker Electro"
ad2d226e765411f0acc48878734f76cf,60,Caesar,60,Physical,Tusks of Fury,60.0,11,11,11,11,7,11,0,0,0,0,50.6,93.2,87,117,0.0,54,0,30.0,12.0,24.0,4.8,21.6,43.2,54,27,CRIT Rate,Physical DMG Bonus,Impact,"4p Proto Punk, Shockstar Disco"
ad2d23a1765411f0bf468878734f76cf,60,Soldier 0 - Anby,60,Electric,Severed Innocence,60.0,12,12,12,12,7,12,0,0,0,0,80.2,155.6,94,93,0.0,9,0,30.0,9.0,36.0,9.6,28.8,57.6,9,0,CRIT Rate,Electric DMG Bonus,Percent ATK,"4p Shadow Harmony, Woodpecker Electro"
ad2d23a1765411f0bf468878734f76cf,60,Anby,60,Electric,Marcato Desire,60.0,12,12,12,12,7,12,0,0,0,0,66.6,166.8,94,156,0.0,0,0,0.0,6.0,9.0,24.0,33.6,52.8,0,63,CRIT DMG,Percent ATK,Percent ATK,"4p Woodpecker Electro, Branch & Blade Song"
ad2d23a1765411f0bf468878734f76cf,60,Soldier 11,60,Fire,The Brimstone,60.0,12,12,12,12,7,12,0,0,0,0,63.4,155.6,94,129,8.0,18,0,0.0,3.0,12.0,19.2,36.0,57.6,18,36,CRIT DMG,Ice DMG Bonus,Percent ATK,"4p Woodpecker Electro, Puffer Electro"
ad2d23a1765411f0bf468878734f76cf,60,Yixuan,60,Ether,Steel Cushion,60.0,11,11,7,11,7,7,0,0,0,0,80.2,155.6,92,126,0.0,0,0,30.0,3.0,3.0,38.4,28.8,57.6,0,36,CRIT DMG,Ether DMG Bonus,Percent HP,"4p Yunkui Tales, Woodpecker Electro"
