uid,player_level,character,char_level,element,w_engine,w_engine_level,basic_atk,special_atk,dash,ultimate,core_skill,assist,base_hp,base_atk,base_def,base_impact,crit_rate,crit_dmg,anomaly_mastery,anomaly_proficiency,pen_ratio,pen,base_energy_regen,sheer_force,dmg_bonus,percent_hp_sub,percent_atk_sub,percent_def_sub,crit_rate_sub,crit_dmg_sub,pen_sub,anomaly_proficiency_sub,drive_slot_4,drive_slot_5,drive_slot_6,drive_sets
e58b8ccc8e1411f081bf8878734f76cf,59,Miyabi,60,Ice,Hailstorm Shrine,60.0,12,12,9,12,7,7,10440,2833,820,86,61.0,166.8,116,301,0.0,27,120,0,30.0,3.0,18.0,0.0,24.0,52.8,27,63,CRIT DMG,Ice DMG Bonus,Percent ATK,"4p Branch & Blade Song, Woodpecker Electro"
e58b8ccc8e1411f081bf8878734f76cf,59,Yixuan,60,Ether,Qingming Birdcage,60.0,8,12,8,12,7,1,21992,1980,799,93,58.6,107.6,92,144,0.0,27,0,2793,0.0,27.0,3.0,19.2,7.2,57.6,27,54,CRIT Rate,Percent HP,Percent HP,"4p Yunkui Tales, Woodpecker Electro"
e58b8ccc8e1411f081bf8878734f76cf,59,Jane,60,Physical,Sharpened Stinger,60.0,12,11,12,11,7,7,11381,2463,820,86,24.2,50.0,192,407,0.0,72,120,0,40.0,15.0,30.0,0.0,19.2,0.0,72,81,Anomaly Proficiency,Physical DMG Bonus,Anomaly Mastery,"4p Fanged Metal, Freedom Blues"
e58b8ccc8e1411f081bf8878734f76cf,59,Trigger,60,Electric,Spectral Gaze,60.0,10,10,1,9,7,7,11397,1968,814,154,87.4,112.4,96,167,0.0,0,120,0,30.0,9.0,9.0,0.0,26.4,62.4,0,72,CRIT Rate,Electric DMG Bonus,Impact,"4p Shadow Harmony, Woodpecker Electro"
e58b8ccc8e1411f081bf8878734f76cf,59,Vivian,60,Ether,Flight of Fancy,60.0,12,12,6,12,7,6,10906,2148,1040,86,17.0,64.4,155,420,0.0,72,192,0,30.0,12.0,9.0,28.8,12.0,14.4,72,90,Anomaly Proficiency,Ether DMG Bonus,Energy Regen,"4p Phaethon's Melody, Freedom Blues"
e58b8ccc8e1411f081bf8878734f76cf,59,Astra Yao,60,Ether,Elegant Vanity,60.0,1,12,1,12,7,10,12403,3820,857,83,21.8,83.6,93,119,0.0,18,280,0,0.0,12.0,36.0,9.6,16.8,33.6,18,27,Percent ATK,Percent ATK,Energy Regen,"4p Astral Voice, Swing Jazz"
e58b8e188e1411f0b63f8878734f76cf,58,Lycaon,60,Ice,The Restrained,60.0,7,7,7,7,7,7,12074,2275,848,194,48.2,93.2,91,90,0.0,72,120,0,40.0,12.0,36.0,9.6,19.2,43.2,72,0,CRIT Rate,Ice DMG Bonus,Impact,"4p Shockstar Disco, Polar Metal"
e58b8e188e1411f0b63f8878734f76cf,58,Jane,60,Physical,Sharpened Stinger,60.0,11,8,10,8,7,8,10680,2377,848,86,26.6,93.2,204,377,0.0,45,120,0,40.0,6.0,27.0,9.6,21.6,43.2,45,81,Anomaly Proficiency,Physical DMG Bonus,Anomaly Mastery,"4p Fanged Metal, Phaethon's Melody"
e58b8e188e1411f0b63f8878734f76cf,58,Ellen,60,Ice,Starlight Engine,60.0,12,12,12,11,7,11,11130,2861,893,93,49.0,155.6,94,156,0.0,27,120,0,40.0,12.0,0.0,9.6,21.6,57.6,27,63,CRIT DMG,Ice DMG Bonus,Percent ATK,"4p Woodpecker Electro, Polar Metal"
e58b8e188e1411f0b63f8878734f76cf,58,Evelyn,60,Fire,Street Superstar,60.0,11,9,10,11,7,9,11707,2906,901,93,56.2,162.0,92,135,0.0,9,120,0,30.0,12.0,15.0,4.8,28.8,48.0,9,45,CRIT DMG,Fire DMG Bonus,Percent ATK,"4p Woodpecker Electro, Branch & Blade Song"
e58b8e188e1411f0b63f8878734f76cf,58,Astra Yao,60,Ether,The Vault,60.0,7,10,7,8,7,8,11369,3253,1016,83,21.8,88.4,93,128,0.0,72,265,0,0.0,0.0,15.0,33.6,16.8,38.4,72,36,Percent ATK,Percent ATK,Percent ATK,"4p Astral Voice, Swing Jazz"
e58b8e188e1411f0b63f8878734f76cf,58,Yuzuha,60,Physical,Metanukimorphosis,60.0,11,8,8,8,7,8,13902,2773,855,86,31.4,112.4,171,165,0.0,0,192,0,0.0,0.0,18.0,9.6,26.4,62.4,0,72,Percent HP,Percent ATK,Anomaly Mastery,"4p Astral Voice, Phaethon's Melody"
e58b8e828e1411f0b9458878734f76cf,59,Yixuan,60,Ether,Puzzle Sphere,60.0,8,12,7,12,7,7,16771,2382,640,93,50.6,162.0,92,117,0.0,18,0,2391,30.0,30.0,12.0,0.0,31.2,48.0,18,27,CRIT DMG,Ether DMG Bonus,Percent HP,"4p Yunkui Tales, Branch & Blade Song"
e58b8e828e1411f0b9458878734f76cf,59,Vivian,60,Ether,Flight of Fancy,60.0,12,11,7,11,7,7,10900,2510,907,86,19.4,74.0,198,384,0.0,36,120,0,30.0,9.0,27.0,14.4,14.4,24.0,36,54,Anomaly Proficiency,Ether DMG Bonus,Anomaly Mastery,"4p Phaethon's Melody, Chaos Jazz"
e58b8e828e1411f0b9458878734f76cf,59,Miyabi,60,Ice,Hailstorm Shrine,60.0,12,12,8,12,7,9,11827,2732,997,86,55.4,171.6,116,247,0.0,9,120,0,30.0,24.0,3.0,19.2,26.4,57.6,9,9,CRIT DMG,Ice DMG Bonus,Percent ATK,"4p Branch & Blade Song, Astral Voice"
e58b8e828e1411f0b9458878734f76cf,59,Yanagi,60,Electric,Fusion Compiler,60.0,12,12,7,12,7,9,11829,2256,989,86,7.4,64.4,192,347,24.0,45,120,0,30.0,15.0,21.0,19.2,2.4,14.4,45,81,Anomaly Proficiency,Electric DMG Bonus,Anomaly Mastery,"4p Chaos Jazz, Freedom Blues"
e58b8e828e1411f0b9458878734f76cf,59,Seed,60,Electric,The Brimstone,60.0,12,10,3,6,7,8,10433,3342,1004,93,41.8,155.6,94,120,0.0,27,120,0,30.0,0.0,24.0,19.2,28.8,28.8,27,27,CRIT DMG,Electric DMG Bonus,Percent ATK,"4p Dawn's Bloom, Woodpecker Electro"
e58b8e828e1411f0b9458878734f76cf,59,Evelyn,60,Fire,Marcato Desire,60.0,11,12,10,11,7,8,10792,2654,916,93,76.2,166.8,92,108,0.0,18,120,0,30.0,6.0,21.0,4.8,28.8,52.8,18,18,CRIT DMG,Fire DMG Bonus,Percent ATK,"4p Woodpecker Electro, Branch & Blade Song"
e58b8ec58e1411f0b36e8878734f76cf,60,Jane,60,Physical,Sharpened Stinger,60.0,11,11,11,11,7,11,10680,2425,1097,86,9.8,64.4,192,425,0.0,36,120,0,40.0,6.0,30.0,43.2,4.8,14.4,36,99,Anomaly Proficiency,Physical DMG Bonus,Anomaly Mastery,"4p Fanged Metal, Freedom Blues"
e58b8ec58e1411f0b36e8878734f76cf,60,Soldier 0 - Anby,60,Electric,Severed Innocence,60.0,11,11,10,11,7,7,11025,2800,914,93,55.4,190.8,94,111,0.0,54,120,0,30.0,15.0,12.0,19.2,36.0,28.8,54,18,CRIT DMG,Electric DMG Bonus,Percent ATK,"4p Shadow Harmony, Branch & Blade Song"
e58b8ec58e1411f0b36e8878734f76cf,60,Yixuan,60,Ether,Qingming Birdcage,60.0,11,11,11,11,7,11,21293,2190,799,93,49.0,131.6,92,117,0.0,18,0,2786,0.0,24.0,9.0,19.2,21.6,33.6,18,27,CRIT DMG,Percent HP,Percent HP,"4p Yunkui Tales, Woodpecker Electro"
e58b8ec58e1411f0b36e8878734f76cf,60,Lycaon,60,Ice,The Restrained,60.0,11,11,11,11,7,11,13141,1931,849,194,53.0,102.8,91,135,0.0,36,144,0,30.0,30.0,9.0,4.8,24.0,52.8,36,45,CRIT Rate,Ice DMG Bonus,Impact,"Shockstar Disco, Swing Jazz, Flex"
e58b8ec58e1411f0b36e8878734f76cf,60,Astra Yao,60,Ether,Elegant Vanity,60.0,7,12,7,11,7,9,12773,3573,946,83,14.6,78.8,93,101,0.0,72,280,0,0.0,15.0,24.0,14.4,9.6,28.8,72,9,Percent ATK,Percent ATK,Energy Regen,"4p Astral Voice, Swing Jazz"
e58b8ec58e1411f0b36e8878734f76cf,60,Miyabi,60,Ice,Hailstorm Shrine,60.0,11,11,11,11,7,11,11485,2822,1039,86,82.6,99.6,116,265,0.0,0,120,0,30.0,21.0,15.0,33.6,21.6,33.6,0,27,CRIT Rate,Ice DMG Bonus,Percent ATK,"4p Branch & Blade Song, Woodpecker Electro"
e58b8f028e1411f0a3268878734f76cf,60,Lighter,60,Fire,Blazing Laurel,60.0,12,12,12,12,7,12,11420,1962,885,186,57.8,131.6,91,135,0.0,27,144,0,30.0,9.0,9.0,9.6,28.8,81.6,27,45,CRIT Rate,Fire DMG Bonus,Impact,"4p King of the Summit, Swing Jazz"
e58b8f028e1411f0a3268878734f76cf,60,Lycaon,60,Ice,The Restrained,60.0,11,11,8,11,7,11,12243,1950,981,194,33.8,131.6,91,99,0.0,45,120,0,40.0,18.0,9.0,24.0,28.8,33.6,45,9,CRIT DMG,Ice DMG Bonus,Impact,"4p Shockstar Disco, Polar Metal"
e58b8f028e1411f0a3268878734f76cf,60,Hugo,60,Ice,Myriad Eclipse,60.0,7,12,3,12,7,3,11079,3422,815,95,72.2,170.0,86,99,0.0,54,120,0,10.0,9.0,18.0,0.0,28.8,72.0,54,9,CRIT DMG,Percent ATK,Percent ATK,"4p Hormone Punk, Polar Metal"
e58b8f028e1411f0a3268878734f76cf,60,Jane,60,Physical,Practiced Perfection,60.0,12,12,10,10,7,8,12062,2951,865,86,5.0,59.6,192,335,0.0,45,120,0,40.0,18.0,33.0,0.0,0.0,9.6,45,99,Anomaly Proficiency,Physical DMG Bonus,Anomaly Mastery,"4p Fanged Metal, Freedom Blues"
e58b8f028e1411f0a3268878734f76cf,60,Evelyn,60,Fire,Heartstring Nocturne,60.0,12,12,8,12,7,8,11502,2595,960,93,70.6,176.4,92,90,0.0,54,120,0,30.0,18.0,3.0,9.6,19.2,62.4,54,0,CRIT DMG,Fire DMG Bonus,Percent ATK,"4p Woodpecker Electro, Branch & Blade Song"
e58b8f028e1411f0a3268878734f76cf,60,Seth,60,Electric,Peacekeeper - Specialized,30.0,9,9,7,8,5,9,9984,1886,1097,94,8.2,91.6,86,96,0.0,36,246,0,0.0,10.0,9.0,22.4,3.2,41.6,36,6,Percent ATK,Percent ATK,Energy Regen,"Swing Jazz, Flex"
e58b8f3e8e1411f082378878734f76cf,56,Yixuan,60,Ether,Qingming Birdcage,60.0,11,12,7,12,7,7,20567,2279,625,93,53.0,162.0,92,135,0.0,45,0,2739,0.0,18.0,18.0,0.0,33.6,48.0,45,45,CRIT DMG,Percent HP,Percent HP,"4p Yunkui Tales, Branch & Blade Song"
e58b8f3e8e1411f082378878734f76cf,56,Miyabi,60,Ice,Hailstorm Shrine,60.0,12,10,7,12,7,5,11130,2562,922,86,73.0,190.8,116,256,24.0,9,120,0,0.0,12.0,6.0,14.4,36.0,76.8,9,18,CRIT DMG,PEN Ratio,Percent ATK,"4p Branch & Blade Song, Woodpecker Electro"
e58b8f3e8e1411f082378878734f76cf,56,Evelyn,60,Fire,The Brimstone,60.0,12,12,7,12,7,7,11595,3089,944,93,58.6,176.4,92,90,0.0,9,120,0,30.0,12.0,6.0,19.2,31.2,62.4,9,0,CRIT DMG,Fire DMG Bonus,Percent ATK,"4p Woodpecker Electro, Branch & Blade Song"
e58b8f3e8e1411f082378878734f76cf,56,Trigger,60,Electric,Spectral Gaze,60.0,12,11,3,11,7,8,11383,2214,916,154,87.4,64.4,96,158,0.0,9,120,0,30.0,6.0,18.0,14.4,26.4,14.4,9,63,CRIT Rate,Electric DMG Bonus,Impact,"4p King of the Summit, Woodpecker Electro"
e58b8f3e8e1411f082378878734f76cf,56,Astra Yao,60,Ether,Bashful Demon,60.0,1,12,1,12,7,3,12325,3505,946,83,14.6,74.0,93,110,0.0,45,280,0,0.0,15.0,36.0,14.4,9.6,24.0,45,18,Percent ATK,Percent ATK,Energy Regen,"4p Astral Voice, Swing Jazz"
